Date,Region,Place,Trigger,Weak Layer,Depth_inches,Width_inches,Vertical_inches,Aspect,Elevation_feet
11/9/2012,Salt Lake,Sunset Peak,Snowboarder,New Snow/Old Snow Interface,14.0,960.0,360.0,North,10400.0
11/11/2012,Salt Lake,Patsy Marly,Skier,New Snow/Old Snow Interface,30.0,1200.0,1200.0,North,9700.0
11/11/2012,Salt Lake,Two Dogs,Skier,Facets,36.0,840.0,5400.0,North,10200.0
11/11/2012,Salt Lake,Emma Ridges,Skier,New Snow,18.0,600.0,6000.0,Southeast,10200.0
11/11/2012,Salt Lake,Sunset Peak,Skier,Facets,42.0,18000.0,9600.0,North,10400.0
11/10/2012,Salt Lake,Grizzly Gulch,Skier,New Snow/Old Snow Interface,24.0,1500.0,1800.0,North,10000.0
11/12/2012,Salt Lake,Silver Fork Headwall,Skier,Facets,30.0,720.0,4800.0,Northeast,9900.0
12/8/2012,Salt Lake,Banana Days,Skier,Facets,24.0,720.0,7200.0,North,10300.0
12/9/2012,Salt Lake,Butler Fork,Skier,Facets,18.0,1800.0,2400.0,East,9400.0
12/10/2012,Salt Lake,Little Water Peak,Skier,Facets,18.0,3000.0,4800.0,East,9500.0
12/11/2012,Salt Lake,MacDonalds Draw,Skier,Facets,24.0,1200.0,4800.0,Northeast,9700.0
12/13/2012,Salt Lake,Cardiff Fork,Unknown,Ground Interface,36.0,600.0,9600.0,North,10000.0
12/12/2012,Skyline,Wedding Ring Ridge,Snowmobiler,Facets,12.0,1800.0,480.0,North,9600.0
12/14/2012,Salt Lake,Millicent Peak,Explosive,Surface Hoar,48.0,3600.0,10800.0,Northeast,10300.0
12/14/2012,Salt Lake,Two Dogs,Unknown,Facets,30.0,720.0,7200.0,North,10100.0
12/17/2012,Salt Lake,MacDonalds Draw,Natural,Unknown,36.0,2400.0,9600.0,Southeast,9300.0
12/16/2012,Skyline,Wedding Ring Ridge,Natural,Facets,15.0,3000.0,1500.0,Northeast,9600.0
12/17/2012,Salt Lake,Brighton Hill,Natural,New Snow/Old Snow Interface,10.0,60.0,600.0,North,9600.0
12/17/2012,Uintas,Uintas,Natural,Facets,30.0,1500.0,2400.0,Northeast,9500.0
12/18/2012,Salt Lake,Lacawaxan,Snowboarder,New Snow/Old Snow Interface,36.0,960.0,1800.0,Northeast,10200.0
12/18/2012,Uintas,Currant Creek Peak,Natural,Facets,60.0,12000.0,6000.0,Northeast,10400.0
12/18/2012,Uintas,Four Eagle Bowl,Unknown,Ground Interface,60.0,4800.0,5226.709785869094,Northeast,25924.37426672369
12/19/2012,Salt Lake,Dutch Draw,Snowboarder,New Snow/Old Snow Interface,30.0,3600.0,8400.0,East,9800.0
12/17/2012,Salt Lake,Bullen Basin,Natural,Facets,36.0,960.0,6000.0,Northeast,9600.0
12/20/2012,Provo,Elk Point,Natural,Facets,30.0,1200.0,36000.0,East,9800.0
12/20/2012,Skyline,Big Drift/Skyline Summit,Snowboarder,Facets,48.0,3000.0,3600.0,Northeast,9400.0
12/20/2012,Uintas,Whitney Basin,Snowmobiler,Facets,48.0,1800.0,3600.0,Northeast,10000.0
12/21/2012,Skyline,Lake Canyon,Snowmobiler,Ground Interface,42.0,9600.0,7200.0,Northeast,10200.0
12/22/2012,Uintas,Moffit Basin,Snowmobiler,Facets,36.0,6000.0,3600.0,Northeast,10400.0
12/22/2012,Uintas,Duchesne Ridge,Snowmobiler,Facets,36.0,1800.0,1200.0,Northeast,9500.0
12/23/2012,Salt Lake,Cardiff Fork,Unknown,New Snow/Old Snow Interface,54.0,420.0,1800.0,West,9700.0
12/27/2012,Salt Lake,Cinder Chutes,Skier,New Snow,12.0,360.0,6000.0,East,9400.0
12/27/2012,Salt Lake,Days Fork,Skier,Density Change,14.0,720.0,6000.0,Northeast,10400.0
12/28/2012,Salt Lake,Gobblers Knob,Skier,Facets,24.0,2100.0,5400.0,Northwest,9500.0
12/26/2012,Skyline,GE Hill,Natural,Facets,24.0,2400.0,1200.0,North,9600.0
12/28/2012,Salt Lake,Lacawaxan,Snowboarder,New Snow/Old Snow Interface,12.0,1200.0,3600.0,East,10500.0
12/27/2012,Provo,Box Elder,Natural,Facets,30.0,960.0,2400.0,Northwest,10000.0
12/29/2012,Ogden,Cutler Ridge,Natural,New Snow,24.0,600.0,1200.0,East,7500.0
1/1/2013,Salt Lake,Pt. Supreme,Skier,Density Change,12.0,480.0,1200.0,Southeast,10400.0
1/2/2013,Salt Lake,Shale Shot,Skier,Unknown,12.0,600.0,2400.0,North,9000.0
1/9/2013,Salt Lake,Lewis Peak,Snowmobiler,Facets,36.0,1200.0,2400.0,North,9200.0
1/9/2013,Logan,Providence Quarry,Natural,Wet grains,10.0,480.0,3600.0,South,6800.0
1/11/2013,Salt Lake,Alexander Basin,Skier,Facets,18.0,600.0,6000.0,Northeast,9300.0
1/12/2013,Salt Lake,West Willow,Skier,Density Change,12.0,360.0,720.0,Northeast,9200.0
1/12/2013,Salt Lake,Mt Aire,Skier,Facets,18.0,1200.0,8400.0,Northeast,7900.0
1/12/2013,Salt Lake,Broads Fork,Natural,Depth Hoar,24.0,3600.0,9600.0,Northeast,10300.0
1/12/2013,Salt Lake,Depth Hoar Bowl,Skier,Facets,18.0,1500.0,4200.0,Northeast,9300.0
1/11/2013,Salt Lake,Diving Board,Natural,Facets,30.0,3600.0,15000.0,East,10300.0
1/17/2013,Salt Lake,Cardiac Ridge,Unknown,Unknown,6.0,240.0,1800.0,East,10200.0
12/27/2012,Skyline,South Fork North Creek,Natural,Facets,36.0,30000.0,8400.0,North,9900.0
1/18/2013,Salt Lake,Grandview Peak,Natural,New Snow,12.0,600.0,600.0,East,8100.0
1/23/2013,Ogden,Cutler Ridge,Snowboarder,Facets,12.0,1200.0,600.0,Northeast,7300.0
1/24/2013,Provo,Snowslide Jr,Natural,Facets,12.0,480.0,12000.0,Northwest,6200.0
1/25/2013,Logan,Logan River,Unknown,Ground Interface,12.0,480.0,6000.0,North,6000.0
1/25/2013,Provo,The Fang,Natural,Facets,12.0,360.0,21000.0,North,7300.0
1/25/2013,Logan,Miller Bowl,Snowmobiler,Unknown,14.0,2400.0,6000.0,East,8600.0
1/25/2013,Logan,Tony Grove Lake,Snowmobiler,Facets,12.0,2400.0,4800.0,North,8600.0
1/26/2013,Salt Lake,Red Pine Gulch,Unknown,Facets,14.0,480.0,1500.0,Northeast,9600.0
1/26/2013,Salt Lake,Red Baldy,Skier,Facets,12.0,1500.0,4800.0,Northwest,9700.0
1/26/2013,Logan,First Dam,Natural,Ground Interface,10.0,1800.0,7200.0,Northwest,5600.0
1/27/2013,Salt Lake,West Desolation Ridge,Skier,New Snow/Old Snow Interface,12.0,480.0,600.0,Unknown,9700.0
1/28/2013,Salt Lake,Maybird Gulch,Skier,Facets,24.0,2400.0,6000.0,North,9600.0
1/28/2013,Salt Lake,Back Bowls,Skier,Facets,36.0,960.0,840.0,Northwest,9800.0
1/28/2013,Salt Lake,Back Bowls,Skier,Facets,3.0,1200.0,1800.0,Northwest,9900.0
1/30/2013,Salt Lake,Butler Fork,Skier,New Snow/Old Snow Interface,36.0,480.0,6000.0,Northeast,9400.0
1/31/2013,Salt Lake,Bear Trap,Skier,Facets,18.0,720.0,960.0,Northwest,7800.0
1/31/2013,Skyline,Big Drift/Skyline Summit,Natural,Facets,18.0,1800.0,1800.0,Northeast,9800.0
1/31/2013,Skyline,Wedding Ring Ridge,Natural,Facets,18.0,3000.0,2400.0,Northeast,9800.0
1/30/2013,Skyline,Pleasant Creek,Natural,Density Change,24.0,2100.0,9600.0,East,10200.0
2/1/2013,Ogden,Weber Canyon,Natural,Ground Interface,12.0,480.0,12000.0,North,5800.0
2/2/2013,Provo,Box Elder,Skier,Facets,24.0,600.0,960.0,East,9400.0
2/2/2013,Provo,Timponooke Glades,Skier,Facets,24.0,1800.0,6000.0,North,9100.0
2/2/2013,Salt Lake,Upper Days,Skier,Facets,30.0,600.0,2400.0,Northwest,9900.0
2/2/2013,Southwest,Niotche Creek,Snowmobiler,Facets,30.0,1500.0,4800.0,Northeast,10400.0
2/2/2013,Southwest,Niotche Creek,Snowmobiler,Facets,36.0,2400.0,6000.0,Northeast,10400.0
2/2/2013,Salt Lake,Eeeny Meeny Miny Moe,Skier,Facets,36.0,2400.0,24000.0,North,9900.0
2/2/2013,Skyline,Seeley Canyon,Snowmobiler,Facets,24.0,1200.0,3600.0,East,10100.0
2/2/2013,Skyline,Seeley Canyon,Snowmobiler,Facets,24.0,3600.0,3600.0,Northeast,10300.0
2/2/2013,Skyline,Seeley Canyon,Snowmobiler,Facets,24.0,2400.0,4800.0,Northeast,10400.0
2/1/2013,Skyline,Lake Canyon,Snowmobiler,Density Change,30.0,3600.0,1200.0,East,9700.0
2/3/2013,Salt Lake,Silver Fork Headwall,Skier,Facets,30.0,2400.0,4200.0,North,9900.0
2/3/2013,Salt Lake,Park City Ridgeline,Skier,Facets,18.0,960.0,3600.0,Northwest,8900.0
2/3/2013,Logan,Beginner Ridge exit,Snowmobiler,Facets,24.0,3000.0,3600.0,Northeast,8400.0
2/3/2013,Logan,Mt. Magog,Natural,Facets,24.0,1200.0,5400.0,East,9200.0
2/3/2013,Uintas,Millcreek,Snowmobiler,Facets,16.0,1200.0,1800.0,Northeast,11000.0
2/2/2013,Uintas,Millcreek,Snowmobiler,Facets,12.0,1500.0,2400.0,Southeast,10600.0
2/3/2013,Uintas,Moffit Peak SE Face,Snowmobiler,Facets,24.0,4200.0,6000.0,Northeast,10600.0
2/3/2013,Uintas,Moffit Basin,Snowmobiler,Facets,36.0,1200.0,3000.0,Northeast,10000.0
2/5/2013,Provo,Lost Creek,Natural,Facets,12.0,480.0,24000.0,East,9700.0
2/5/2013,Logan,White Pine Canyon,Unknown,Facets,36.0,2400.0,5400.0,Southeast,9500.0
2/1/2013,Salt Lake,Sun Dial,Unknown,Unknown,30.0,3600.0,7200.0,Northeast,9800.0
2/10/2013,Salt Lake,Diving Board,Natural,Ground Interface,60.0,3000.0,5400.0,Northeast,9500.0
2/12/2013,Salt Lake,Little Superior,Skier,New Snow/Old Snow Interface,12.0,360.0,240.0,Southeast,10500.0
