Date,Region,Trigger,Weak Layer,Depth_inches,Vertical_inches,Aspect,Elevation_feet
11/9/2012,Salt Lake,Snowboarder,New Snow/Old Snow Interface,14.0,360.0,North,10400.0
11/11/2012,Salt Lake,Skier,New Snow/Old Snow Interface,30.0,1200.0,North,9700.0
11/11/2012,Salt Lake,Skier,Facets,36.0,5400.0,North,10200.0
11/11/2012,Salt Lake,Skier,New Snow,18.0,6000.0,Southeast,10200.0
11/11/2012,Salt Lake,Skier,Facets,42.0,9600.0,North,10400.0
11/10/2012,Salt Lake,Skier,New Snow/Old Snow Interface,24.0,1800.0,North,10000.0
11/12/2012,Salt Lake,Skier,Facets,30.0,4800.0,Northeast,9900.0
12/8/2012,Salt Lake,Skier,Facets,24.0,7200.0,North,10300.0
12/9/2012,Salt Lake,Skier,Facets,18.0,2400.0,East,9400.0
12/10/2012,Salt Lake,Skier,Facets,18.0,4800.0,East,9500.0
12/11/2012,Salt Lake,Skier,Facets,24.0,4800.0,Northeast,9700.0
12/13/2012,Salt Lake,Unknown,Ground Interface,36.0,9600.0,North,10000.0
12/12/2012,Skyline,Snowmobiler,Facets,12.0,480.0,North,9600.0
12/14/2012,Salt Lake,Explosive,Surface Hoar,48.0,10800.0,Northeast,10300.0
12/14/2012,Salt Lake,Unknown,Facets,30.0,7200.0,North,10100.0
12/17/2012,Salt Lake,Natural,Unknown,36.0,9600.0,Southeast,9300.0
12/16/2012,Skyline,Natural,Facets,15.0,1500.0,Northeast,9600.0
12/17/2012,Salt Lake,Natural,New Snow/Old Snow Interface,10.0,600.0,North,9600.0
12/17/2012,Uintas,Natural,Facets,30.0,2400.0,Northeast,9500.0
12/18/2012,Salt Lake,Snowboarder,New Snow/Old Snow Interface,36.0,1800.0,Northeast,10200.0
12/18/2012,Uintas,Natural,Facets,60.0,6000.0,Northeast,10400.0
12/19/2012,Salt Lake,Snowboarder,New Snow/Old Snow Interface,30.0,8400.0,East,9800.0
12/17/2012,Salt Lake,Natural,Facets,36.0,6000.0,Northeast,9600.0
12/20/2012,Provo,Natural,Facets,30.0,36000.0,East,9800.0
12/20/2012,Skyline,Snowboarder,Facets,48.0,3600.0,Northeast,9400.0
12/20/2012,Uintas,Snowmobiler,Facets,48.0,3600.0,Northeast,10000.0
