Date,Region,Trigger,Weak Layer,Depth_inches,Vertical_inches,Aspect,Elevation_feet,__annotations
2012-11-09,Salt Lake,Snowboarder,New Snow/Old Snow Interface,14,360.0,North,10400.0,No Annotation
2012-11-11,Salt Lake,Skier,New Snow/Old Snow Interface,30,1200.0,North,9700.0,No Annotation
2012-11-11,Salt Lake,Skier,Facets,36,5400.0,North,10200.0,No Annotation
2012-11-11,Salt Lake,Skier,New Snow,18,6000.0,Southeast,10200.0,No Annotation
2012-11-11,Salt Lake,Skier,Facets,42,9600.0,North,10400.0,No Annotation
2012-11-10,Salt Lake,Skier,New Snow/Old Snow Interface,24,1800.0,North,10000.0,No Annotation
2012-11-12,Salt Lake,Skier,Facets,30,4800.0,Northeast,9900.0,No Annotation
2012-12-08,Salt Lake,Skier,Facets,24,7200.0,North,10300.0,No Annotation
2012-12-09,Salt Lake,Skier,Facets,18,2400.0,East,9400.0,No Annotation
2012-12-10,Salt Lake,Skier,Facets,18,4800.0,East,9500.0,No Annotation
2012-12-11,Salt Lake,Skier,Facets,24,4800.0,Northeast,9700.0,No Annotation
2012-12-13,Salt Lake,Unknown,Ground Interface,36,9600.0,North,10000.0,No Annotation
2012-12-12,Skyline,Snowmobiler,Facets,12,480.0,North,9600.0,No Annotation
2012-12-14,Salt Lake,Explosive,Surface Hoar,48,10800.0,Northeast,10300.0,No Annotation
2012-12-14,Salt Lake,Unknown,Facets,30,7200.0,North,10100.0,No Annotation
2012-12-17,Salt Lake,Natural,Unknown,36,9600.0,Southeast,9300.0,No Annotation
2012-12-16,Skyline,Natural,Facets,15,1500.0,Northeast,9600.0,No Annotation
2012-12-17,Salt Lake,Natural,New Snow/Old Snow Interface,10,600.0,North,9600.0,No Annotation
2012-12-17,Uintas,Natural,Facets,30,2400.0,Northeast,9500.0,No Annotation
2012-12-18,Salt Lake,Snowboarder,New Snow/Old Snow Interface,36,1800.0,Northeast,10200.0,No Annotation
2012-12-18,Uintas,Natural,Facets,60,6000.0,Northeast,10400.0,No Annotation
2012-12-19,Salt Lake,Snowboarder,New Snow/Old Snow Interface,30,8400.0,East,9800.0,No Annotation
2012-12-17,Salt Lake,Natural,Facets,36,6000.0,Northeast,9600.0,No Annotation
2012-12-20,Provo,Natural,Facets,30,36000.0,East,9800.0,No Annotation
2012-12-20,Skyline,Snowboarder,Facets,48,3600.0,Northeast,9400.0,No Annotation
2012-12-20,Uintas,Snowmobiler,Facets,48,3600.0,Northeast,10000.0,No Annotation
2012-12-21,Skyline,Snowmobiler,Ground Interface,42,7200.0,Northeast,10200.0,No Annotation
2012-12-22,Uintas,Snowmobiler,Facets,36,3600.0,Northeast,10400.0,No Annotation
2012-12-22,Uintas,Snowmobiler,Facets,36,1200.0,Northeast,9500.0,No Annotation
2012-12-23,Salt Lake,Unknown,New Snow/Old Snow Interface,54,1800.0,West,9700.0,No Annotation
2012-12-27,Salt Lake,Skier,New Snow,12,6000.0,East,9400.0,No Annotation
2012-12-27,Salt Lake,Skier,Density Change,14,6000.0,Northeast,10400.0,No Annotation
2012-12-28,Salt Lake,Skier,Facets,24,5400.0,Northwest,9500.0,No Annotation
2012-12-26,Skyline,Natural,Facets,24,1200.0,North,9600.0,No Annotation
2012-12-28,Salt Lake,Snowboarder,New Snow/Old Snow Interface,12,3600.0,East,10500.0,No Annotation
2012-12-27,Provo,Natural,Facets,30,2400.0,Northwest,10000.0,No Annotation
2012-12-29,Ogden,Natural,New Snow,24,1200.0,East,7500.0,No Annotation
2013-01-01,Salt Lake,Skier,Density Change,12,1200.0,Southeast,10400.0,No Annotation
2013-01-02,Salt Lake,Skier,Unknown,12,2400.0,North,9000.0,No Annotation
2013-01-09,Salt Lake,Snowmobiler,Facets,36,2400.0,North,9200.0,No Annotation
2013-01-09,Logan,Natural,Wet grains,10,3600.0,South,6800.0,No Annotation
2013-01-11,Salt Lake,Skier,Facets,18,6000.0,Northeast,9300.0,No Annotation
2013-01-12,Salt Lake,Skier,Density Change,12,720.0,Northeast,9200.0,No Annotation
2013-01-12,Salt Lake,Skier,Facets,18,8400.0,Northeast,7900.0,No Annotation
2013-01-12,Salt Lake,Natural,Depth Hoar,24,9600.0,Northeast,10300.0,No Annotation
2013-01-12,Salt Lake,Skier,Facets,18,4200.0,Northeast,9300.0,No Annotation
2013-01-11,Salt Lake,Natural,Facets,30,15000.0,East,10300.0,No Annotation
2013-01-17,Salt Lake,Unknown,Unknown,6,1800.0,East,10200.0,No Annotation
2012-12-27,Skyline,Natural,Facets,36,8400.0,North,9900.0,No Annotation
2013-01-18,Salt Lake,Natural,New Snow,12,600.0,East,8100.0,No Annotation
2013-01-23,Ogden,Snowboarder,Facets,12,600.0,Northeast,7300.0,No Annotation
2013-01-24,Provo,Natural,Facets,12,12000.0,Northwest,6200.0,No Annotation
2013-01-25,Logan,Unknown,Ground Interface,12,6000.0,North,6000.0,No Annotation
2013-01-25,Provo,Natural,Facets,12,21000.0,North,7300.0,No Annotation
2013-01-25,Logan,Snowmobiler,Unknown,14,6000.0,East,8600.0,No Annotation
2013-01-25,Logan,Snowmobiler,Facets,12,4800.0,North,8600.0,No Annotation
2013-01-26,Salt Lake,Unknown,Facets,14,1500.0,Northeast,9600.0,No Annotation
2013-01-26,Salt Lake,Skier,Facets,12,4800.0,Northwest,9700.0,No Annotation
2013-01-26,Logan,Natural,Ground Interface,10,7200.0,Northwest,5600.0,No Annotation
2013-01-27,Salt Lake,Skier,New Snow/Old Snow Interface,12,600.0,Unknown,9700.0,No Annotation
2013-01-28,Salt Lake,Skier,Facets,24,6000.0,North,9600.0,No Annotation
2013-01-28,Salt Lake,Skier,Facets,36,840.0,Northwest,9800.0,No Annotation
2013-01-28,Salt Lake,Skier,Facets,3,1800.0,Northwest,9900.0,No Annotation
2013-01-30,Salt Lake,Skier,New Snow/Old Snow Interface,36,6000.0,Northeast,9400.0,No Annotation
2013-01-31,Salt Lake,Skier,Facets,18,960.0,Northwest,7800.0,No Annotation
2013-01-31,Skyline,Natural,Facets,18,1800.0,Northeast,9800.0,No Annotation
2013-01-31,Skyline,Natural,Facets,18,2400.0,Northeast,9800.0,No Annotation
2013-01-30,Skyline,Natural,Density Change,24,9600.0,East,10200.0,No Annotation
2013-02-01,Ogden,Natural,Ground Interface,12,12000.0,North,5800.0,No Annotation
2013-02-02,Provo,Skier,Facets,24,960.0,East,9400.0,No Annotation
2013-02-02,Provo,Skier,Facets,24,6000.0,North,9100.0,No Annotation
2013-02-02,Salt Lake,Skier,Facets,30,2400.0,Northwest,9900.0,No Annotation
2013-02-02,Southwest,Snowmobiler,Facets,30,4800.0,Northeast,10400.0,No Annotation
2013-02-02,Southwest,Snowmobiler,Facets,36,6000.0,Northeast,10400.0,No Annotation
2013-02-02,Salt Lake,Skier,Facets,36,24000.0,North,9900.0,No Annotation
2013-02-02,Skyline,Snowmobiler,Facets,24,3600.0,East,10100.0,No Annotation
2013-02-02,Skyline,Snowmobiler,Facets,24,3600.0,Northeast,10300.0,No Annotation
2013-02-02,Skyline,Snowmobiler,Facets,24,4800.0,Northeast,10400.0,No Annotation
2013-02-01,Skyline,Snowmobiler,Density Change,30,1200.0,East,9700.0,No Annotation
2013-02-03,Salt Lake,Skier,Facets,30,4200.0,North,9900.0,No Annotation
2013-02-03,Salt Lake,Skier,Facets,18,3600.0,Northwest,8900.0,No Annotation
2013-02-03,Logan,Snowmobiler,Facets,24,3600.0,Northeast,8400.0,No Annotation
2013-02-03,Logan,Natural,Facets,24,5400.0,East,9200.0,No Annotation
2013-02-03,Uintas,Snowmobiler,Facets,16,1800.0,Northeast,11000.0,No Annotation
2013-02-02,Uintas,Snowmobiler,Facets,12,2400.0,Southeast,10600.0,No Annotation
2013-02-03,Uintas,Snowmobiler,Facets,24,6000.0,Northeast,10600.0,No Annotation
2013-02-03,Uintas,Snowmobiler,Facets,36,3000.0,Northeast,10000.0,No Annotation
2013-02-05,Provo,Natural,Facets,12,24000.0,East,9700.0,No Annotation
2013-02-05,Logan,Unknown,Facets,36,5400.0,Southeast,9500.0,No Annotation
2013-02-01,Salt Lake,Unknown,Unknown,30,7200.0,Northeast,9800.0,No Annotation
2013-02-10,Salt Lake,Natural,Ground Interface,60,5400.0,Northeast,9500.0,No Annotation
