Avalanche Season,Region,Month,Day,Year,Trigger,Weak Layer,Depth_inches,Vertical_inches,Aspect,Elevation_feet
Start,Salt Lake,11,9,2012,Snowboarder,New Snow/Old Snow Interface,14,360,North,10400
Start,Salt Lake,11,11,2012,Skier,New Snow/Old Snow Interface,30,1200,North,9700
Start,Salt Lake,11,11,2012,Skier,Facets,36,5400,North,10200
Start,Salt Lake,11,11,2012,Skier,New Snow,18,6000,Southeast,10200
Start,Salt Lake,11,11,2012,Skier,Facets,42,9600,North,10400
Start,Salt Lake,11,10,2012,Skier,New Snow/Old Snow Interface,24,1800,North,10000
Start,Salt Lake,11,12,2012,Skier,Facets,30,4800,Northeast,9900
Start,Salt Lake,12,8,2012,Skier,Facets,24,7200,North,10300
Start,Salt Lake,12,9,2012,Skier,Facets,18,2400,East,9400
Start,Salt Lake,12,10,2012,Skier,Facets,18,4800,East,9500
Start,Salt Lake,12,11,2012,Skier,Facets,24,4800,Northeast,9700
Start,Salt Lake,12,13,2012,Unknown,Ground Interface,36,9600,North,10000
Start,Skyline,12,12,2012,Snowmobiler,Facets,12,480,North,9600
Start,Salt Lake,12,14,2012,Explosive,Surface Hoar,48,10800,Northeast,10300
Start,Salt Lake,12,14,2012,Unknown,Facets,30,7200,North,10100
Start,Salt Lake,12,17,2012,Natural,Unknown,36,9600,Southeast,9300
Start,Skyline,12,16,2012,Natural,Facets,15,1500,Northeast,9600
Start,Salt Lake,12,17,2012,Natural,New Snow/Old Snow Interface,10,600,North,9600
Start,Uintas,12,17,2012,Natural,Facets,30,2400,Northeast,9500
Start,Salt Lake,12,18,2012,Snowboarder,New Snow/Old Snow Interface,36,1800,Northeast,10200
Start,Uintas,12,18,2012,Natural,Facets,60,6000,Northeast,10400
Start,Salt Lake,12,19,2012,Snowboarder,New Snow/Old Snow Interface,30,8400,East,9800
Start,Salt Lake,12,17,2012,Natural,Facets,36,6000,Northeast,9600
Start,Provo,12,20,2012,Natural,Facets,30,36000,East,9800
Start,Skyline,12,20,2012,Snowboarder,Facets,48,3600,Northeast,9400
Start,Uintas,12,20,2012,Snowmobiler,Facets,48,3600,Northeast,10000
Start,Skyline,12,21,2012,Snowmobiler,Ground Interface,42,7200,Northeast,10200
Start,Uintas,12,22,2012,Snowmobiler,Facets,36,3600,Northeast,10400
Start,Uintas,12,22,2012,Snowmobiler,Facets,36,1200,Northeast,9500
Start,Salt Lake,12,23,2012,Unknown,New Snow/Old Snow Interface,54,1800,West,9700
Start,Salt Lake,12,27,2012,Skier,New Snow,12,6000,East,9400
Start,Salt Lake,12,27,2012,Skier,Density Change,14,6000,Northeast,10400
Start,Salt Lake,12,28,2012,Skier,Facets,24,5400,Northwest,9500
Start,Skyline,12,26,2012,Natural,Facets,24,1200,North,9600
Start,Salt Lake,12,28,2012,Snowboarder,New Snow/Old Snow Interface,12,3600,East,10500
Start,Provo,12,27,2012,Natural,Facets,30,2400,Northwest,10000
Start,Ogden,12,29,2012,Natural,New Snow,24,1200,East,7500
Middle,Salt Lake,1,1,2013,Skier,Density Change,12,1200,Southeast,10400
Middle,Salt Lake,1,2,2013,Skier,Unknown,12,2400,North,9000
Middle,Salt Lake,1,9,2013,Snowmobiler,Facets,36,2400,North,9200
Middle,Logan,1,9,2013,Natural,Wet grains,10,3600,South,6800
Middle,Salt Lake,1,11,2013,Skier,Facets,18,6000,Northeast,9300
Middle,Salt Lake,1,12,2013,Skier,Density Change,12,720,Northeast,9200
Middle,Salt Lake,1,12,2013,Skier,Facets,18,8400,Northeast,7900
Middle,Salt Lake,1,12,2013,Natural,Depth Hoar,24,9600,Northeast,10300
Middle,Salt Lake,1,12,2013,Skier,Facets,18,4200,Northeast,9300
Middle,Salt Lake,1,11,2013,Natural,Facets,30,15000,East,10300
Middle,Salt Lake,1,17,2013,Unknown,Unknown,6,1800,East,10200
Start,Skyline,12,27,2012,Natural,Facets,36,8400,North,9900
Middle,Salt Lake,1,18,2013,Natural,New Snow,12,600,East,8100
Middle,Ogden,1,23,2013,Snowboarder,Facets,12,600,Northeast,7300
Middle,Provo,1,24,2013,Natural,Facets,12,12000,Northwest,6200
Middle,Logan,1,25,2013,Unknown,Ground Interface,12,6000,North,6000
Middle,Provo,1,25,2013,Natural,Facets,12,21000,North,7300
Middle,Logan,1,25,2013,Snowmobiler,Unknown,14,6000,East,8600
Middle,Logan,1,25,2013,Snowmobiler,Facets,12,4800,North,8600
Middle,Salt Lake,1,26,2013,Unknown,Facets,14,1500,Northeast,9600
Middle,Salt Lake,1,26,2013,Skier,Facets,12,4800,Northwest,9700
Middle,Logan,1,26,2013,Natural,Ground Interface,10,7200,Northwest,5600
Middle,Salt Lake,1,27,2013,Skier,New Snow/Old Snow Interface,12,600,Unknown,9700
Middle,Salt Lake,1,28,2013,Skier,Facets,24,6000,North,9600
Middle,Salt Lake,1,28,2013,Skier,Facets,36,840,Northwest,9800
Middle,Salt Lake,1,28,2013,Skier,Facets,3,1800,Northwest,9900
Middle,Salt Lake,1,30,2013,Skier,New Snow/Old Snow Interface,36,6000,Northeast,9400
Middle,Salt Lake,1,31,2013,Skier,Facets,18,960,Northwest,7800
Middle,Skyline,1,31,2013,Natural,Facets,18,1800,Northeast,9800
Middle,Skyline,1,31,2013,Natural,Facets,18,2400,Northeast,9800
Middle,Skyline,1,30,2013,Natural,Density Change,24,9600,East,10200
Middle,Ogden,2,1,2013,Natural,Ground Interface,12,12000,North,5800
Middle,Provo,2,2,2013,Skier,Facets,24,960,East,9400
Middle,Provo,2,2,2013,Skier,Facets,24,6000,North,9100
Middle,Salt Lake,2,2,2013,Skier,Facets,30,2400,Northwest,9900
Middle,Southwest,2,2,2013,Snowmobiler,Facets,30,4800,Northeast,10400
Middle,Southwest,2,2,2013,Snowmobiler,Facets,36,6000,Northeast,10400
Middle,Salt Lake,2,2,2013,Skier,Facets,36,24000,North,9900
Middle,Skyline,2,2,2013,Snowmobiler,Facets,24,3600,East,10100
Middle,Skyline,2,2,2013,Snowmobiler,Facets,24,3600,Northeast,10300
Middle,Skyline,2,2,2013,Snowmobiler,Facets,24,4800,Northeast,10400
Middle,Skyline,2,1,2013,Snowmobiler,Density Change,30,1200,East,9700
Middle,Salt Lake,2,3,2013,Skier,Facets,30,4200,North,9900
Middle,Salt Lake,2,3,2013,Skier,Facets,18,3600,Northwest,8900
Middle,Logan,2,3,2013,Snowmobiler,Facets,24,3600,Northeast,8400
Middle,Logan,2,3,2013,Natural,Facets,24,5400,East,9200
Middle,Uintas,2,3,2013,Snowmobiler,Facets,16,1800,Northeast,11000
Middle,Uintas,2,2,2013,Snowmobiler,Facets,12,2400,Southeast,10600
Middle,Uintas,2,3,2013,Snowmobiler,Facets,24,6000,Northeast,10600
Middle,Uintas,2,3,2013,Snowmobiler,Facets,36,3000,Northeast,10000
Middle,Provo,2,5,2013,Natural,Facets,12,24000,East,9700
Middle,Logan,2,5,2013,Unknown,Facets,36,5400,Southeast,9500
Middle,Salt Lake,2,1,2013,Unknown,Unknown,30,7200,Northeast,9800
Middle,Salt Lake,2,10,2013,Natural,Ground Interface,60,5400,Northeast,9500
Middle,Salt Lake,2,12,2013,Skier,New Snow/Old Snow Interface,12,240,Southeast,10500
Middle,Skyline,2,14,2013,Natural,New Snow,10,1800,Northeast,9700
Middle,Uintas,2,15,2013,Snowmobiler,New Snow/Old Snow Interface,18,3600,Southeast,10500
Middle,Skyline,2,16,2013,Snowmobiler,Facets,24,480,Northeast,10100
Middle,Salt Lake,2,17,2013,Unknown,Facets,5,8400,Northeast,9600
Middle,Uintas,2,13,2013,Natural,Facets,36,3600,Southeast,10500
Middle,Skyline,2,17,2013,Natural,Facets,24,3600,East,10000
Middle,Salt Lake,2,16,2013,Natural,Graupel,16,3000,Northwest,8500
Middle,Salt Lake,2,19,2013,Skier,Unknown,18,1800,Northwest,10000
Middle,Uintas,2,21,2013,Skier,Facets,16,3600,Northwest,10200
Middle,Salt Lake,2,24,2013,Skier,New Snow/Old Snow Interface,8,2400,North,8600
Middle,Salt Lake,2,24,2013,Skier,Facets,14,840,Northwest,9800
Middle,Provo,2,23,2013,Natural,New Snow,16,2400,Southeast,10400
Middle,Salt Lake,2,25,2013,Skier,New Snow/Old Snow Interface,12,1800,Southeast,10000
Middle,Salt Lake,2,24,2013,Snowboarder,New Snow/Old Snow Interface,10,3600,South,10200
Middle,Salt Lake,2,24,2013,Skier,Facets,14,1800,Northwest,9800
Middle,Salt Lake,2,28,2013,Natural,Facets,16,4800,Northeast,10600
Middle,Salt Lake,2,26,2013,Skier,Facets,12,1200,North,8900
Middle,Skyline,3,1,2013,Snowmobiler,Facets,24,3000,Northeast,10400
Middle,Salt Lake,3,2,2013,Snowboarder,Facets,24,3600,Northeast,9400
Middle,Provo,3,2,2013,Natural,Facets,8,9600,Northwest,6000
Middle,Provo,3,2,2013,Natural,Wet grains,8,15000,Southeast,10100
Middle,Salt Lake,3,3,2013,Skier,Density Change,8,2100,Northwest,9800
Middle,Provo,3,3,2013,Natural,New Snow/Old Snow Interface,24,18000,Southeast,10000
Middle,Provo,3,3,2013,Natural,Unknown,10,18000,Southeast,10400
Middle,Provo,3,3,2013,Natural,Facets,10,6000,Northeast,6000
Middle,Salt Lake,3,4,2013,Skier,New Snow/Old Snow Interface,8,7200,North,10200
Middle,Provo,3,4,2013,Natural,Density Change,12,18000,Southeast,10100
Middle,Salt Lake,3,4,2013,Unknown,Unknown,8,3000,East,10000
Middle,Salt Lake,3,5,2013,Skier,New Snow/Old Snow Interface,10,6000,North,10800
Middle,Salt Lake,3,4,2013,Skier,Facets,30,4200,Northwest,7300
Middle,Salt Lake,3,9,2013,Skier,Density Change,5,4800,South,9800
Middle,Salt Lake,3,10,2013,Skier,Density Change,4,10800,South,10700
Middle,Salt Lake,3,10,2013,Skier,New Snow,6,4200,East,10100
Middle,Salt Lake,3,10,2013,Unknown,New Snow/Old Snow Interface,15,1800,East,9500
