Length,Title,Max Players,Multiplatform,Online,Genres,Licensed,Comp_Time_Main,Review Score,Year,Publishers
Short,Wii Play,2,True,True,Action,True,4.0,58,2006,Nintendo
Short,New Super Mario Bros.,1,True,True,Action,True,7.0,89,2006,Nintendo
Long,Pokmon Diamond,1,True,True,Role-Playing (RPG),True,41.92,85,2006,Nintendo
Long,Pokmon Pearl,1,True,True,Role-Playing (RPG),True,41.92,85,2006,Nintendo
Short,Gears of War,2,True,True,Action,True,9.0,94,2006,Microsoft
Average,The Legend of Zelda: Twilight Princess,1,True,True,Action,True,37.0,95,2006,Nintendo
Short,Cooking Mama,1,True,True,Simulation,True,7.0,67,2006,Unknown
Short,Marvel Ultimate Alliance,4,True,True,Action,True,12.37,82,2006,Activision
Short,Daxter,1,True,True,Action,True,7.57,85,2006,Sony
Average,The Elder Scrolls IV: Oblivion,1,True,True,Action,True,24.0,94,2006,2K
Short,Grand Theft Auto: Vice City Stories,1,True,True,Action,True,16.3,86,2006,Rockstar
Short,Resistance: Fall of Man,4,True,True,Action,True,12.0,86,2006,Sony
Short,MotorStorm,1,True,True,Action,True,15.0,82,2006,Sony
Short,Call of Duty 3,2,True,True,Action,True,8.0,82,2006,Activision
Short,Yoshi's Island DS,1,True,True,Action,True,9.17,81,2006,Nintendo
Short,Tom Clancy's Ghost Recon: Advanced Warfighter,4,True,True,Action,True,8.75,90,2006,Ubisoft
Short,Fight Night Round 3,2,True,True,Action,True,11.0,86,2006,EA
Short,Pokmon Ranger,1,True,True,Role-Playing (RPG),True,12.57,69,2006,Nintendo
Short,Rayman Raving Rabbids,4,True,True,Action,True,6.0,76,2006,Ubisoft
Short,Saints Row,1,True,True,Action,True,17.0,81,2006,THQ
Short,Tom Clancy's Rainbow Six: Vegas,2,True,True,Action,True,9.0,88,2006,Ubisoft
Short,Dead Rising,1,True,True,Action,True,10.53,85,2006,Capcom
Short,Call of Duty 3,1,True,True,Action,True,8.0,69,2006,Activision
Short,Lost Planet: Extreme Condition,1,True,True,Action,True,8.48,79,2006,Capcom
Short,Mario Hoops 3 on 3,1,True,True,Sports,True,3.5,69,2006,Nintendo
Short,LEGO Star Wars II: The Original Trilogy,1,True,True,Action,True,12.0,47,2006,EA
Short,Super Monkey Ball: Banana Blitz,4,True,True,Action,True,5.4,74,2006,Sega
Short,Need for Speed: Carbon - Own the City,1,True,True,Racing / Driving,True,15.72,73,2006,EA
Short,WarioWare: Smooth Moves,6,True,True,Action,True,2.5,83,2006,Nintendo
Short,Fight Night Round 3,2,True,True,Action,True,11.0,83,2006,EA
Average,Final Fantasy III,1,True,True,Role-Playing (RPG),True,25.9,77,2006,SquareEnix
Short,Kirby: Squeak Squad,1,True,True,Action,True,4.0,71,2006,Nintendo
Short,Pokmon Battle Revolution,4,True,True,Action,True,13.0,53,2006,Nintendo
Short,Medal of Honor: Heroes,1,True,True,Action,True,5.0,71,2006,EA
Short,Tekken: Dark Resurrection,1,True,True,Action,True,2.37,88,2006,"Namco,Sony"
Short,Need for Speed: Carbon,2,True,True,Racing / Driving,True,13.0,77,2006,EA
Short,Mario vs. Donkey Kong 2: March of the Minis,1,True,True,Action,True,4.32,76,2006,Nintendo
Short,Sonic Rivals,1,True,True,Action,True,6.0,64,2006,Sega
Short,Mortal Kombat: Unchained,2,True,True,Action,True,1.75,70,2006,Midway
Short,Tom Clancy's Splinter Cell: Double Agent,1,True,True,Action,True,11.0,85,2006,Ubisoft
Short,Tetris DS,1,True,True,Strategy,True,17.0,84,2006,Nintendo
Short,LEGO Star Wars II: The Original Trilogy,2,True,True,Action,True,12.0,83,2006,Unknown
Short,Red Steel,4,True,True,Action,True,8.25,63,2006,Ubisoft
Short,Metroid Prime: Hunters,1,True,True,Action,True,8.63,85,2006,Nintendo
Short,LEGO Star Wars II: The Original Trilogy,2,True,True,Action,True,12.0,81,2006,Unknown
Short,NBA 2K7 ,1,True,True,Sports,True,8.18,84,2006,2K
Short,Call of Duty 3,1,True,True,Action,True,8.0,80,2006,Activision
Short,SpongeBob SquarePants: The Yellow Avenger,1,True,True,Action,True,8.0,48,2006,THQ
Short,Fight Night Round 3,2,True,True,Action,True,11.0,74,2006,EA
Short,Need for Speed: Carbon,2,True,True,Racing / Driving,True,13.0,75,2006,EA
Short,Need for Speed: Carbon,2,True,True,Racing / Driving,True,13.0,67,2006,EA
Short,WWE SmackDown vs. Raw 2007,4,True,True,Sports,True,9.0,81,2006,THQ
Short,Tiger Woods PGA Tour 07,1,True,True,Sports,True,10.0,80,2006,EA
Short,Viva Pi$?ata,4,True,True,Simulation,True,19.0,84,2006,Microsoft
Short,SpongeBob Squarepants: Creature from the Krusty Krab,1,True,True,Action,True,5.33,57,2006,THQ
Short,Tony Hawk's Project 8,2,True,True,Sports,True,17.0,68,2006,Activision
Short,Tony Hawk's Project 8,2,True,True,Sports,True,17.0,81,2006,Activision
Short,Excite Truck,2,True,True,Racing / Driving,True,7.0,72,2006,Nintendo
Long,Harvest Moon DS,1,True,True,Role-Playing (RPG),True,45.13,67,2006,Unknown
Short,Star Fox Command,1,True,True,Action,True,3.0,76,2006,Nintendo
Short,Metal Gear Solid: Portable Ops,1,True,True,Action,True,11.58,87,2006,Konami
Short,Marvel Ultimate Alliance,4,True,True,Action,True,12.37,73,2006,Activision
Short,WWE SmackDown vs. Raw 2007,4,True,True,Sports,True,9.0,78,2006,THQ
Short,Marvel Ultimate Alliance,1,True,True,Action,True,12.37,81,2006,Activision
Short,Marvel Ultimate Alliance,4,True,True,Action,True,12.37,78,2006,Activision
Short,Tiger Woods PGA Tour 07,4,True,True,Sports,True,10.0,81,2006,EA
Short,Ace Combat X: Skies of Deception,1,True,True,Action,True,3.75,75,2006,Namco
Short,Killzone: Liberation,1,True,True,Action,True,7.9,77,2006,Sony
Short,F.E.A.R.: First Encounter Assault Recon,1,True,True,Action,True,8.42,85,2006,Unknown
Short,NBA 2K7,7,True,True,Sports,True,8.18,80,2006,2K
Short,Tony Hawk's Project 8,2,True,True,Sports,True,17.0,76,2006,Activision
Short,Avatar: The Last Airbender,1,True,True,Action,True,6.0,64,2006,THQ
Short,Castlevania: Portrait of Ruin,1,True,True,Action,True,10.53,85,2006,Konami
Short,Hitman: Blood Money,1,True,True,Action,True,12.0,82,2006,Eidos
Short,Rockstar Games presents Table Tennis,2,True,True,Sports,True,6.0,81,2006,Rockstar
Short,Trauma Center: Second Opinion,1,True,True,Action,True,8.5,80,2006,Nintendo
Average,Tenchu Z,1,True,True,Action,True,20.88,56,2006,Microsoft
Short,Elite Beat Agents,1,True,True,Action,True,4.0,87,2006,Nintendo
Short,Street Fighter Alpha 3 MAX,1,True,True,Action,True,2.0,80,2006,Capcom
Long,Blue Dragon,1,True,True,Role-Playing (RPG),True,46.03,79,2006,Microsoft
Short,The Lord of the Rings: The Battle for Middle Ea...,1,True,True,Strategy,True,14.5,79,2006,EA
