Title,Handheld?,Max Players,Multiplatform?,Online?,Genres,Licensed?,Publishers,Sequel,Review Score,Sales,Used Price,Console,Rating,Re-release?,Year,CT_All,CT_Comp,CT_MainExtra,CT_MainOnly
Super Mario 64 DS,True,1,True,True,Action,True,Nintendo,True,85,4.69,24.95,Nintendo DS,E,True,2004,24.48,30.0,25.0,14.5
Lumines: Puzzle Fusion,True,1,True,True,Strategy,True,Ubisoft,True,89,0.56,14.95,Sony PSP,E,True,2004,10.0,-100.0,9.75,10.0
WarioWare Touched!,True,2,True,True,Action,True,Nintendo,True,81,0.54,22.95,Nintendo DS,E,True,2004,2.5,7.25,3.33,1.83
Hot Shots Golf: Open Tee,True,1,True,True,Sports,True,Sony,True,81,0.49,12.95,Sony PSP,E,True,2004,-100.0,-100.0,-100.0,-100.0
Spider-Man 2,True,1,True,True,Action,True,Activision,True,61,0.45,14.95,Nintendo DS,E,True,2004,10.0,72.57,12.5,8.0
The Urbz: Sims in the City,True,1,True,True,Simulation,True,EA,True,67,0.41,12.95,Nintendo DS,M,True,2004,20.0,30.03,20.0,15.5
Ridge Racer,True,1,True,True,Racing / Driving,True,Namco,True,88,0.36,19.95,Sony PSP,E,True,2004,0.88,1.25,0.88,0.53
Metal Gear Ac!d,True,1,True,True,Strategy,True,Konami,True,75,0.34,17.95,Sony PSP,E,True,2004,21.27,80.0,25.1,20.78
Madden NFL 2005,True,1,True,True,Sports,True,EA,True,68,0.25,8.95,Nintendo DS,T,True,2004,-100.0,-100.0,-100.0,-100.0
Pokmon Dash,True,1,True,True,Racing / Driving,True,Nintendo,True,46,0.22,24.95,Nintendo DS,T,True,2004,1.18,12.0,-100.0,1.08
Dynasty Warriors,True,1,True,True,Action,True,Unknown,True,62,0.2,14.95,Sony PSP,E,True,2004,2.08,-100.0,-100.0,2.08
Feel the Magic XY/XX,True,1,True,True,Action,True,Sega,True,75,0.16,8.95,Nintendo DS,T,True,2004,3.0,-100.0,3.1,2.98
Ridge Racer DS,True,1,True,True,Racing / Driving,True,Namco,True,63,0.15,9.95,Nintendo DS,E,True,2004,2.23,-100.0,-100.0,2.23
Darkstalkers Chronicle: The Chaos Tower,True,1,True,True,Action,True,Capcom,True,74,0.14,14.95,Sony PSP,E,True,2004,2.0,-100.0,-100.0,2.0
Ape Escape Academy,True,4,True,True,Action,True,Sony,True,51,0.13,14.95,Sony PSP,E,True,2004,1.88,-100.0,-100.0,1.88
Polarium,True,1,True,True,Strategy,True,Nintendo,True,73,0.12,8.95,Nintendo DS,E,True,2004,6.0,12.0,-100.0,5.75
Asphalt: Urban GT,True,1,True,True,Racing / Driving,True,Ubisoft,True,60,0.11,14.95,Nintendo DS,E,True,2004,12.4,9.82,-100.0,15.0
Zoo Keeper,True,1,True,True,Action,True,Unknown,True,74,0.1,14.95,Nintendo DS,T,True,2004,5.0,11.75,-100.0,5.0
Mr. DRILLER: Drill Spirits,True,1,True,True,Action,True,Namco,True,72,0.09,14.95,Nintendo DS,T,True,2004,9.88,-100.0,-100.0,9.88
Sprung,True,1,True,True,Adventure,True,Ubisoft,True,48,0.06,8.95,Nintendo DS,E,True,2004,17.75,17.75,-100.0,-100.0
Armored Core: Formula Front - Extreme Battle,True,1,True,True,Action,True,Unknown,True,66,0.05,16.95,Sony PSP,E,True,2004,-100.0,-100.0,-100.0,-100.0
Puyo Pop Fever,True,1,True,True,Action,True,Sega,True,76,0.04,19.95,Nintendo DS,E,True,2004,2.0,-100.0,4.0,1.75
Mario Kart DS,True,1,True,True,Racing / Driving,True,Nintendo,True,91,9.99,29.95,Nintendo DS,E,True,2005,9.08,15.0,10.0,4.5
Nintendogs,True,1,True,True,Simulation,True,Nintendo,True,83,9.72,26.95,Nintendo DS,E,True,2005,27.98,100.0,43.35,22.15
Brain Age: Train Your Brain in Minutes a Day!,True,1,True,True,Action,True,Nintendo,True,77,5.07,17.95,Nintendo DS,M,True,2005,1.0,1.0,0.93,1.0
Brain Agey: More Training in Minutes a Day!,True,1,True,True,Action,True,Nintendo,True,77,3.65,17.95,Nintendo DS,E,True,2005,15.0,1.0,15.0,1.0
