Title,Handheld,Max Players,Multiplatform,Online,Genres,Licensed?,Publishers,Sequel,Review Score,Sales,Used Price,Console,Rating,Re-release,Year,All_Average,All_Leisure,All_Median,Length.All_Polled,All_Rushed,Comp_Average,Comp_Leisure,Comp_Median,Comp_Polled,Comp_Rushed,MainExtra_Average,MainExtra_Leisure,MainExtra_Median,MainExtra_Polled,MainExtra_Rushed,Main_Average,Main_Leisure,Main_Median,Main_Polled,Main_Rushed
Super Mario 64 DS,True,1,True,True,Action,True,Nintendo,True,85,4.69,24.95,Nintendo DS,E,True,2004,22.72,31.9,24.48,57,14.3,29.77,35.03,30.0,20,22.02,24.92,29.97,25.0,16,18.33,14.33,18.32,14.5,21,9.7
Lumines: Puzzle Fusion,True,1,True,True,Strategy,True,Ubisoft,True,89,0.56,14.95,Sony PSP,E,True,2004,10.1,11.02,10.0,5,9.52,0.0,0.0,0.0,0,0.0,9.75,9.87,9.75,2,9.62,10.33,11.08,10.0,3,9.58
WarioWare Touched!,True,2,True,True,"Action,Racing / Driving,Sports",True,Nintendo,True,81,0.54,22.95,Nintendo DS,E,True,2004,4.57,11.57,2.5,57,2.27,10.0,14.1,7.25,16,6.8,3.85,5.67,3.33,11,2.78,1.92,2.93,1.83,30,1.43
Hot Shots Golf: Open Tee,True,1,True,True,Sports,True,Sony,True,81,0.49,12.95,Sony PSP,E,True,2004,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Spider-Man 2,True,1,True,True,Action,True,Activision,True,61,0.45,14.95,Nintendo DS,E,True,2004,13.25,48.38,10.0,37,7.07,72.57,78.87,72.57,2,66.28,12.77,17.32,12.5,12,10.48,8.35,11.08,8.0,23,5.33
The Urbz: Sims in the City,True,1,True,True,Simulation,True,EA,True,67,0.41,12.95,Nintendo DS,M,True,2004,21.93,25.5,20.0,7,16.73,30.03,30.03,30.03,2,30.03,20.83,25.2,20.0,3,16.45,15.5,15.75,15.5,2,15.25
Ridge Racer,True,1,True,True,Racing / Driving,True,Namco,True,88,0.36,19.95,Sony PSP,E,True,2004,0.82,1.05,0.88,6,0.58,1.25,1.25,1.25,1,1.25,0.88,0.93,0.88,2,0.83,0.62,0.78,0.53,3,0.45
Metal Gear Ac!d,True,1,True,True,Strategy,True,Konami,True,75,0.34,17.95,Sony PSP,E,True,2004,25.38,51.65,21.27,18,19.17,80.0,80.0,80.0,1,80.0,24.83,27.48,25.1,6,21.92,20.7,23.6,20.78,11,17.88
Madden NFL 2005,True,1,True,True,Sports,True,EA,True,68,0.25,8.95,Nintendo DS,T,True,2004,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Pokmon Dash,True,1,True,True,Racing / Driving,True,Nintendo,True,46,0.22,24.95,Nintendo DS,T,True,2004,3.83,7.25,1.18,4,1.75,12.0,12.0,12.0,1,12.0,0.0,0.0,0.0,0,0.0,1.12,1.2,1.08,3,1.05
Dynasty Warriors,True,1,True,True,"Action,Adventure,Role-Playing (RPG)",True,Unknown,True,62,0.2,14.95,Sony PSP,E,True,2004,8.88,18.05,2.08,4,3.12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8.88,18.05,2.08,4,3.12
Feel the Magic XY/XX,True,1,True,True,"Action,Adventure,Racing / Driving,Sports",True,Sega,True,75,0.16,8.95,Nintendo DS,T,True,2004,2.9,3.8,3.0,9,2.32,0.0,0.0,0.0,0,0.0,3.1,3.15,3.1,2,3.05,2.85,3.78,2.98,7,2.3
Ridge Racer DS,True,1,True,True,Racing / Driving,True,Namco,True,63,0.15,9.95,Nintendo DS,E,True,2004,2.23,2.23,2.23,1,2.23,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2.23,2.23,2.23,1,2.23
Darkstalkers Chronicle: The Chaos Tower,True,1,True,True,Action,True,Capcom,True,74,0.14,14.95,Sony PSP,E,True,2004,1.63,2.4,2.0,7,1.07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.63,2.4,2.0,7,1.07
Ape Escape Academy,True,4,True,True,"Action,Sports",True,Sony,True,51,0.13,14.95,Sony PSP,E,True,2004,1.88,1.88,1.88,1,1.88,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.88,1.88,1.88,1,1.88
Polarium,True,1,True,True,Strategy,True,Nintendo,True,73,0.12,8.95,Nintendo DS,E,True,2004,6.73,9.18,6.0,5,5.27,12.0,12.0,12.0,1,12.0,0.0,0.0,0.0,0,0.0,5.42,5.78,5.75,4,4.87
Asphalt: Urban GT,True,1,True,True,"Racing / Driving,Simulation",True,Ubisoft,True,60,0.11,14.95,Nintendo DS,E,True,2004,12.4,13.7,12.4,2,11.1,9.82,9.82,9.82,1,9.82,0.0,0.0,0.0,0,0.0,15.0,15.0,15.0,1,15.0
Zoo Keeper,True,1,True,True,Action,True,Unknown,True,74,0.1,14.95,Nintendo DS,T,True,2004,7.15,8.9,5.0,5,5.03,11.75,11.75,11.75,1,11.75,0.0,0.0,0.0,0,0.0,6.0,7.75,5.0,4,4.75
Mr. DRILLER: Drill Spirits,True,1,True,True,Action,True,Namco,True,72,0.09,14.95,Nintendo DS,T,True,2004,9.88,10.98,9.88,2,8.77,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.88,10.98,9.88,2,8.77
Sprung,True,1,True,True,Adventure,True,Ubisoft,True,48,0.06,8.95,Nintendo DS,E,True,2004,17.75,17.75,17.75,1,17.75,17.75,17.75,17.75,1,17.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Armored Core: Formula Front - Extreme Battle,True,1,True,True,"Action,Strategy",True,Unknown,True,66,0.05,16.95,Sony PSP,E,True,2004,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Puyo Pop Fever,True,1,True,True,"Action,Strategy",True,Sega,True,76,0.04,19.95,Nintendo DS,E,True,2004,2.5,3.12,2.0,3,1.87,0.0,0.0,0.0,0,0.0,4.0,4.0,4.0,1,4.0,1.75,1.87,1.75,2,1.62
Mario Kart DS,True,1,True,True,Racing / Driving,True,Nintendo,True,91,9.99,29.95,Nintendo DS,E,True,2005,10.42,22.37,9.08,91,5.62,16.38,25.33,15.0,32,10.33,10.72,15.17,10.0,24,7.8,4.78,7.37,4.5,35,3.07
Nintendogs,True,1,True,True,Simulation,True,Nintendo,True,83,9.72,26.95,Nintendo DS,E,True,2005,39.38,66.83,27.98,9,22.83,100.0,100.0,100.0,1,100.0,43.35,49.02,43.35,2,37.67,27.97,46.82,22.15,6,18.53
Brain Age: Train Your Brain in Minutes a Day!,True,1,True,True,Action,True,Nintendo,True,77,5.07,17.95,Nintendo DS,M,True,2005,0.95,1.48,1.0,10,0.63,1.0,1.0,1.0,2,1.0,0.93,0.97,0.93,2,0.9,0.93,1.48,1.0,6,0.63
Brain Agey: More Training in Minutes a Day!,True,1,True,True,Action,True,Nintendo,True,77,3.65,17.95,Nintendo DS,E,True,2005,13.25,27.05,15.0,7,7.47,1.0,1.0,1.0,1,1.0,23.33,29.58,15.0,3,17.08,7.27,12.07,1.0,3,2.48
Grand Theft Auto: Liberty City Stories,True,1,True,True,"Action,Racing / Driving",True,"Capcom,Rockstar",True,88,2.97,17.95,Sony PSP,E,True,2005,20.27,44.8,14.97,60,12.33,46.67,59.47,47.23,7,33.2,26.55,39.13,20.0,11,18.63,14.22,21.9,13.85,42,10.53
Animal Crossing: Wild World,True,1,True,True,Simulation,True,Nintendo,True,86,2.6,24.95,Nintendo DS,T,True,2005,168.97,437.37,80.53,24,72.37,408.58,555.8,314.67,4,308.3,180.53,265.13,180.0,9,105.13,72.38,135.58,70.0,11,45.58
Big Brain Academy,True,1,True,True,Action,True,Nintendo,True,74,1.77,16.95,Nintendo DS,E,True,2005,9.17,14.07,7.13,9,4.57,16.38,17.83,15.0,3,14.92,8.07,8.53,8.07,2,7.6,4.3,5.35,5.12,4,2.85
Call of Duty 2,True,4,True,True,Action,True,"Activision,Konami",True,89,1.69,17.95,X360,E,True,2005,9.23,14.55,9.0,210,6.55,11.63,15.7,11.18,39,8.2,9.6,11.32,10.0,25,7.4,8.52,11.37,8.98,146,6.37
Midnight Club 3: DUB Edition,True,1,True,True,Racing / Driving,True,Rockstar,True,74,1.69,14.95,Sony PSP,T,True,2005,39.0,46.75,48.0,9,29.25,48.87,49.4,48.75,4,48.4,49.0,49.5,49.0,2,48.5,19.17,21.17,19.5,3,17.17
Need for Speed: Most Wanted 5-1-0,True,1,True,True,Racing / Driving,True,EA,True,72,1.67,14.95,Sony PSP,M,True,2005,11.38,12.43,10.33,3,10.35,0.0,0.0,0.0,0,0.0,9.83,9.83,9.83,1,9.83,12.17,13.08,12.17,2,11.25
Pokmon Mystery Dungeon: Blue Rescue Team,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,62,1.22,14.95,Nintendo DS,T,True,2005,37.47,101.02,25.62,60,20.27,111.97,135.73,90.0,6,87.98,39.62,70.25,38.5,21,29.47,22.57,43.92,23.05,33,15.9
Sonic Rush,True,1,True,True,Action,True,Sega,True,82,1.2,14.95,Nintendo DS,E,True,2005,7.92,13.53,6.22,25,5.03,13.43,17.35,16.0,5,10.47,9.43,10.35,10.0,7,8.18,4.97,5.98,5.0,13,3.98
Star Wars: Battlefront II,True,1,True,True,Action,True,Unknown,True,69,1.09,16.95,Sony PSP,E,True,2005,15.02,116.0,9.0,99,7.42,48.9,131.07,35.37,14,28.57,13.42,16.68,13.35,25,9.83,7.78,11.23,8.0,60,5.35
SOCOM: U.S. Navy SEALs - Fireteam Bravo,True,1,True,True,Action,True,Sony,True,82,1.07,14.95,Sony PSP,E,True,2005,8.58,8.58,8.58,1,8.58,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8.58,8.58,8.58,1,8.58
Need for Speed: Most Wanted,True,2,True,True,Racing / Driving,True,EA,True,83,0.95,17.95,X360,E,True,2005,14.6,46.65,12.0,182,8.37,34.6,56.15,30.0,21,25.22,15.92,33.25,14.0,51,12.47,10.18,17.03,10.0,110,6.75
Zoo Tycoon DS,True,1,True,True,"Simulation,Strategy",True,THQ,True,44,0.92,12.95,Nintendo DS,T,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
The Sims 2,True,1,True,True,"Role-Playing (RPG),Simulation",True,EA,True,70,0.83,17.95,Nintendo DS,M,True,2005,55.93,122.7,34.92,20,29.7,200.0,200.0,200.0,1,200.0,61.55,90.38,60.0,7,42.0,40.67,77.9,30.98,12,24.9
Mario & Luigi: Partners in Time,True,1,True,True,"Action,Role-Playing (RPG)",True,Nintendo,True,86,0.75,29.95,Nintendo DS,E,True,2005,19.67,30.32,18.65,96,14.38,33.92,39.22,40.0,7,27.47,19.25,24.07,19.03,32,16.65,18.15,21.82,18.02,57,13.85
Madden NFL 06,True,1,True,True,Sports,True,EA,True,75,0.75,7.95,Sony PSP,E,True,2005,3.75,5.37,3.75,2,2.12,3.75,5.37,3.75,2,2.12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Need for Speed Underground: Rivals,True,4,True,True,Racing / Driving,True,EA,True,74,0.73,17.95,Sony PSP,E,True,2005,22.37,28.03,20.47,3,16.7,27.57,31.12,27.57,2,24.02,0.0,0.0,0.0,0,0.0,12.0,12.0,12.0,1,12.0
Twisted Metal: Head-On,True,1,True,True,"Action,Racing / Driving",True,Sony,True,79,0.73,14.95,Sony PSP,E,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Perfect Dark Zero,True,4,True,True,Action,True,Microsoft,True,79,0.7,17.95,X360,E,True,2005,9.3,20.68,8.0,33,6.32,28.85,30.78,28.85,2,26.92,10.17,11.28,10.0,3,9.03,7.82,10.0,8.0,28,5.95
Super Monkey Ball: Touch & Roll,True,1,True,True,Action,True,Sega,True,63,0.7,15.95,Nintendo DS,T,True,2005,1.45,2.75,0.57,9,0.58,0.0,0.0,0.0,0,0.0,3.55,4.02,3.55,2,3.08,0.85,2.17,0.47,7,0.4
