Title,Max Players,Multiplatform,Online,Genres,Licensed,Comp_Time_Main,Review Score,Year,Publishers
Super Mario 64 DS,1,True,True,Action,True,14.5,85,2004,Nintendo
Lumines: Puzzle Fusion,1,True,True,Strategy,True,10.0,89,2004,Ubisoft
WarioWare Touched!,2,True,True,Action,True,1.83,81,2004,Nintendo
Spider-Man 2,1,True,True,Action,True,8.0,61,2004,Activision
The Urbz: Sims in the City,1,True,True,Simulation,True,15.5,67,2004,EA
Ridge Racer,1,True,True,Racing / Driving,True,0.53,88,2004,Namco
Metal Gear Ac!d,1,True,True,Strategy,True,20.78,75,2004,Konami
Pokmon Dash,1,True,True,Racing / Driving,True,1.08,46,2004,Nintendo
Dynasty Warriors,1,True,True,Action,True,2.08,62,2004,Unknown
Feel the Magic XY/XX,1,True,True,Action,True,2.98,75,2004,Sega
Ridge Racer DS,1,True,True,Racing / Driving,True,2.23,63,2004,Namco
Darkstalkers Chronicle: The Chaos Tower,1,True,True,Action,True,2.0,74,2004,Capcom
Ape Escape Academy,4,True,True,Action,True,1.88,51,2004,Sony
Polarium,1,True,True,Strategy,True,5.75,73,2004,Nintendo
Asphalt: Urban GT,1,True,True,Racing / Driving,True,15.0,60,2004,Ubisoft
Zoo Keeper,1,True,True,Action,True,5.0,74,2004,Unknown
Mr. DRILLER: Drill Spirits,1,True,True,Action,True,9.88,72,2004,Namco
Puyo Pop Fever,1,True,True,Action,True,1.75,76,2004,Sega
Mario Kart DS,1,True,True,Racing / Driving,True,4.5,91,2005,Nintendo
Nintendogs,1,True,True,Simulation,True,22.15,83,2005,Nintendo
Brain Age: Train Your Brain in Minutes a Day!,1,True,True,Action,True,1.0,77,2005,Nintendo
Brain Agey: More Training in Minutes a Day!,1,True,True,Action,True,1.0,77,2005,Nintendo
Grand Theft Auto: Liberty City Stories,1,True,True,Action,True,13.85,88,2005,"Capcom,Rockstar"
Animal Crossing: Wild World,1,True,True,Simulation,True,70.0,86,2005,Nintendo
Big Brain Academy,1,True,True,Action,True,5.12,74,2005,Nintendo
Call of Duty 2,4,True,True,Action,True,8.98,89,2005,"Activision,Konami"
Midnight Club 3: DUB Edition,1,True,True,Racing / Driving,True,19.5,74,2005,Rockstar
