Region,Month,Day,Year,Trigger,Weak Layer,Depth_inches,Vertical_inches,Aspect,Elevation_feet
Salt Lake,11,9,2012,Snowboarder,New Snow/Old Snow Interface,14.0,360.0,North,10400.0
Salt Lake,11,11,2012,Skier,New Snow/Old Snow Interface,30.0,1200.0,North,9700.0
Salt Lake,11,11,2012,Skier,Facets,36.0,5400.0,North,10200.0
Salt Lake,11,11,2012,Skier,New Snow,"18.0""",6000.0,Southeast,10200.0
Salt Lake,11,11,2012,Skier,Facets,42.0,9600.0,North,10400.0
Salt Lake,11,10,2012,Skier,New Snow/Old Snow Interface,24.0,1800.0,North,10000.0
Salt Lake,11,12,2012,Skier,Facets,30.0,4800.0,Northeast,9900.0
Salt Lake,12,8,2012,Skier,Facets,24.0,7200.0,North,10300.0
Salt Lake,12,9,2012,Skier,Facets,18.0,2400.0,East,9400.0
Salt Lake,12,10,2012,Skier,Facets,18.0,4800.0,East,9500.0
Salt Lake,12,11,2012,Skier,Facets,24.0,4800.0,Northeast,9700.0
Salt Lake,12,13,2012,Unknown,Ground Interface,36.0,9600.0,North,10000.0
Skyline,12,12,2012,Snowmobiler,Facets,12.0,480.0,North,9600.0
Salt Lake,12,14,2012,Explosive,Surface Hoar,48.0,10800.0,Northeast,10300.0
Salt Lake,12,14,2012,Unknown,Facets,30.0,7200.0,North,10100.0
Salt Lake,12,17,2012,Natural,Unknown,36.0,9600.0,Southeast,9300.0
Skyline,12,16,2012,Natural,Facets,15.0,1500.0,Northeast,9600.0
Salt Lake,12,17,2012,Natural,New Snow/Old Snow Interface,10.0,600.0,North,9600.0
Uintas,12,17,2012,Natural,Facets,30.0,2400.0,Northeast,9500.0
Salt Lake,12,18,2012,Snowboarder,New Snow/Old Snow Interface,36.0,1800.0,Northeast,10200.0
Uintas,12,18,2012,Natural,Facets,60.0,6000.0,Northeast,10400.0
Uintas,12,18,2012,Unknown,Ground Interface,60.0,5226.7097858691,Northeast,25924.3742667237
Salt Lake,12,19,2012,Snowboarder,New Snow/Old Snow Interface,30.0,8400.0,East,9800.0
Salt Lake,12,17,2012,Natural,Facets,36.0,6000.0,Northeast,9600.0
Provo,12,20,2012,Natural,Facets,30.0,36000.0,East,9800.0
Skyline,12,20,2012,Snowboarder,Facets,48.0,3600.0,Northeast,9400.0
Uintas,12,20,2012,Snowmobiler,Facets,48.0,3600.0,Northeast,10000.0
Skyline,12,21,2012,Snowmobiler,Ground Interface,42.0,7200.0,Northeast,10200.0
Uintas,12,22,2012,Snowmobiler,Facets,36.0,3600.0,Northeast,10400.0
Uintas,12,22,2012,Snowmobiler,Facets,36.0,1200.0,Northeast,9500.0
Salt Lake,12,23,2012,Unknown,New Snow/Old Snow Interface,54.0,1800.0,West,9700.0
Salt Lake,12,27,2012,Skier,New Snow,12.0,6000.0,East,9400.0
Salt Lake,12,27,2012,Skier,Density Change,14.0,6000.0,Northeast,10400.0
Salt Lake,12,28,2012,Skier,Facets,24.0,5400.0,Northwest,9500.0
Skyline,12,26,2012,Natural,Facets,24.0,1200.0,North,9600.0
Salt Lake,12,28,2012,Snowboarder,New Snow/Old Snow Interface,12.0,3600.0,East,10500.0
Provo,12,27,2012,Natural,Facets,30.0,2400.0,Northwest,10000.0
Ogden,12,29,2012,Natural,New Snow,24.0,1200.0,East,7500.0
Salt Lake,1,1,2013,Skier,Density Change,12.0,1200.0,Southeast,10400.0
Salt Lake,1,2,2013,Skier,Unknown,12.0,2400.0,North,9000.0
Salt Lake,1,9,2013,Snowmobiler,Facets,36.0,2400.0,North,9200.0
Logan,1,9,2013,Natural,Wet grains,10.0,3600.0,South,6800.0
