PID,Condition,Dataset,Order,Task,Sub Task,TaskID,Status,Duration,LLM,Search,Notes
1,Persist,Avalanche,1,1,a,1a,Correct,0:02:04,FALSE,FALSE,
1,Persist,Avalanche,1,1,b,1b,Correct,0:01:14,FALSE,FALSE,
1,Persist,Avalanche,1,1,c,1c,Correct,0:01:00,FALSE,FALSE,
1,Persist,Avalanche,1,2,a,2a,Correct,0:02:30,FALSE,FALSE,
1,Persist,Avalanche,1,2,b,2b,Correct,0:01:00,FALSE,FALSE,
1,Persist,Avalanche,1,3,a,3a,Correct,0:02:56,FALSE,FALSE,
1,Persist,Avalanche,1,3,b,3b,Correct,0:02:23,FALSE,FALSE,.
1,Pandas,Video Games,2,1,a,1a,Correct,0:04:10,FALSE,TRUE,Search - own laptop - non english - google only - no LLM
1,Pandas,Video Games,2,1,b,1b,Correct,0:02:49,FALSE,TRUE,Search - own laptop - non english - google only - no LLM
1,Pandas,Video Games,2,1,c,1c,Correct,0:10:23,FALSE,TRUE,Search - own laptop - non english - google only - no LLM
1,Pandas,Video Games,2,2,a,2a,Correct,0:11:23,FALSE,TRUE,Search - own laptop - non english - google only - no LLM
1,Pandas,Video Games,2,2,b,2b,Correct,0:02:13,FALSE,TRUE,Search - own laptop - non english - google only - no LLM
1,Pandas,Video Games,2,3,a,3a,Correct,0:29:35,FALSE,TRUE,Search - own laptop - non english - google only - no LLM
1,Pandas,Video Games,2,3,b,3b,Correct,0:03:49,FALSE,TRUE,Search - own laptop - non english - google only - no LLM
2,Pandas,Avalanche,1,1,a,1a,Correct,0:04:11,FALSE,TRUE,Searching for ‘drop column pandas’
2,Pandas,Avalanche,1,1,b,1b,Correct,0:04:40,FALSE,TRUE,Search for rename columns in docs
2,Pandas,Avalanche,1,1,c,1c,Correct,0:13:07,FALSE,TRUE,Searching for replace syntax
2,Pandas,Avalanche,1,2,a,2a,Correct,0:10:20,FALSE,TRUE,Search to fix logical 'and' in masking code
2,Pandas,Avalanche,1,2,b,2b,Correct,0:03:13,FALSE,FALSE,
2,Pandas,Avalanche,1,3,a,3a,Correct,0:08:55,FALSE,TRUE,Search - add new column
2,Pandas,Avalanche,1,3,b,3b,Correct,0:02:42,FALSE,FALSE,
2,Persist,Video Games,2,1,a,1a,Correct,0:00:38,FALSE,FALSE,
2,Persist,Video Games,2,1,b,1b,Correct,0:00:37,FALSE,FALSE,
2,Persist,Video Games,2,1,c,1c,Correct,0:05:01,FALSE,FALSE,
2,Persist,Video Games,2,2,a,2a,Correct,0:04:44,FALSE,FALSE,
2,Persist,Video Games,2,2,b,2b,Correct,0:02:10,FALSE,FALSE,
2,Persist,Video Games,2,3,a,3a,Correct,0:03:32,FALSE,FALSE,
2,Persist,Video Games,2,3,b,3b,Correct,0:01:43,FALSE,FALSE,
3,Persist,Video Games,1,1,a,1a,Correct,0:02:08,FALSE,FALSE,
3,Persist,Video Games,1,1,b,1b,Correct,0:00:52,FALSE,FALSE,
3,Persist,Video Games,1,1,c,1c,Correct,0:05:09,FALSE,FALSE,
3,Persist,Video Games,1,2,a,2a,Correct,0:01:17,FALSE,FALSE,
3,Persist,Video Games,1,2,b,2b,Wrong,0:01:25,FALSE,FALSE,Removed data for 2006 as well
3,Persist,Video Games,1,3,a,3a,Correct,0:02:38,FALSE,FALSE,
3,Persist,Video Games,1,3,b,3b,Correct,0:03:02,FALSE,FALSE,
3,Pandas,Avalanche,2,1,a,1a,Correct,0:07:28,FALSE,TRUE,Search
3,Pandas,Avalanche,2,1,b,1b,Correct,0:04:45,FALSE,TRUE,Search
3,Pandas,Avalanche,2,1,c,1c,Correct,0:09:36,FALSE,TRUE,Search
3,Pandas,Avalanche,2,2,a,2a,Correct,0:08:59,TRUE,FALSE,ChatGPT
3,Pandas,Avalanche,2,2,b,2b,Correct,0:04:02,TRUE,FALSE,ChatGPT
3,Pandas,Avalanche,2,3,a,3a,Correct,0:07:32,TRUE,FALSE,ChatGPT
3,Pandas,Avalanche,2,3,b,3b,Correct,0:01:37,FALSE,FALSE,
4,Pandas,Video Games,1,1,a,1a,Wrong,0:05:27,FALSE,TRUE,"Search docs, never assigned removed dataframe"
4,Pandas,Video Games,1,1,b,1b,Correct,0:05:14,FALSE,TRUE,Search for rename syntax
4,Pandas,Video Games,1,1,c,1c,Skipped,0:15:47,FALSE,TRUE,"Search - convert type of column pandas, Search - inspect unique values pandas"
4,Pandas,Video Games,1,2,a,2a,Correct,0:08:45,FALSE,TRUE,"Search - print values in a range
Search  remove values less than"
